ID,Nom,Type,Surface,Prix,Prix_m2,Adresse,Ville,Code_Postal,Region,Image,Promoteur,Statut,Année_Construction,DPE,Charges_Mensuelles,Taxe_Fonciere,Rentabilite,Parking,Balcon,Ascenseur,Etage,Nombre_Etages,Date_Disponibilite
1,Le Familial - Paris,T3,52,1196156,23003,"44 avenue boulevard Gilbert, 75016 Paris",Paris,75016,Île-de-France,https://example.com/images/properties/t3/1.jpg,Pitch Promotion,En négociation,1961,E,254,5981,3.71,False,True,False,14,20,2026-01-03
2,Le Cosy - Paris,Studio,29,466574,16089,"56 rue chemin Stéphanie Leconte, 75002 Paris",Paris,75002,Île-de-France,https://example.com/images/properties/studio/2.jpg,Nexity,Réservé,2023,C,96,2333,5.96,True,True,True,5,6,2025-11-03
3,Le Confort - Paris,T2,46,403032,8762,"68 avenue boulevard de Boyer, 75003 Paris",Paris,75003,Île-de-France,https://example.com/images/properties/t2/3.jpg,Vinci Immobilier,Vendu,1964,D,173,2015,2.09,True,False,True,2,10,2026-07-11
4,Le Professionnel - Paris,Commercial,335,1919700,5730,"89 place boulevard de Valentin, 75007 Paris",Paris,75007,Île-de-France,https://example.com/images/properties/commercial/4.jpg,Pitch Promotion,Vendu,2002,D,862,9598,2.66,False,False,True,14,14,2025-06-28
5,Le Quintessence - Paris,T5,116,848668,7316,"61 place boulevard de Arnaud, 75006 Paris",Paris,75006,Île-de-France,https://example.com/images/properties/t5/5.jpg,Cogedim,Réservé,2007,B,161,4243,3.19,False,False,False,15,8,2026-07-08
6,Le Majestueux - Paris,T5,106,1408554,13288,"30 boulevard rue Clémence Albert, 75008 Paris",Paris,75008,Île-de-France,https://example.com/images/properties/t5/6.jpg,Eiffage Immobilier,Vendu,1992,A,153,7043,4.76,False,False,False,0,9,2025-12-26
7,Le Quintessence - Paris,T5,102,1836520,18005,"74 boulevard rue Charrier, 75008 Paris",Paris,75008,Île-de-France,https://example.com/images/properties/t5/7.jpg,Cogedim,Réservé,2002,F,146,9183,6.96,False,True,False,0,6,2026-10-19
8,Le Duplex - Paris,Duplex,122,1166134,9558,"77 rue avenue de Parent, 75016 Paris",Paris,75016,Île-de-France,https://example.com/images/properties/duplex/8.jpg,Kaufman & Broad,À vendre,2020,A,278,5831,5.2,True,True,False,0,15,2025-05-07
9,Le Studio - Paris,Studio,28,561720,20061,"69 avenue boulevard de Thomas, 75016 Paris",Paris,75016,Île-de-France,https://example.com/images/properties/studio/9.jpg,Eiffage Immobilier,À vendre,1955,E,118,2809,7.9,False,False,True,0,13,2025-10-31
10,Le Confort - Paris,T2,43,780768,18157,"133 rue avenue de Moulin, 75005 Paris",Paris,75005,Île-de-France,https://example.com/images/properties/t2/10.jpg,Kaufman & Broad,En négociation,1969,B,188,3904,2.76,True,False,True,6,18,2026-03-19
11,Le Trilogie - Paris,T3,50,414894,8298,"134 boulevard rue de Joseph, 75004 Paris",Paris,75004,Île-de-France,https://example.com/images/properties/t3/11.jpg,Eiffage Immobilier,En négociation,2019,G,164,2074,5.31,True,True,False,4,3,2026-09-26
12,Le Cosy - Paris,Studio,28,275928,9855,"28 rue rue de Buisson, 75005 Paris",Paris,75005,Île-de-France,https://example.com/images/properties/studio/12.jpg,Bouygues Immobilier,À vendre,2008,D,94,1380,7.53,False,True,False,4,5,2026-08-11
13,Le Quintessence - Paris,T5,96,1785536,18599,"137 boulevard avenue Antoine Boucher, 75003 Paris",Paris,75003,Île-de-France,https://example.com/images/properties/t5/13.jpg,Kaufman & Broad,Vendu,2017,G,424,8928,4.15,False,False,True,0,2,2026-06-30
